Label,10kHz,40kHz,80kHz
Aluminium,401.4,400.3,400.5
Aluminium,401.2,400.2,400.3
Aluminium,401.1,400.1,400.2
Aluminium,400.9,399.9,399.9
Aluminium,400.7,399.7,399.7
Aluminium,400.5,399.5,399.6
Aluminium,400.3,399.4,399.5
Aluminium,400.1,399.3,399.4
Aluminium,400.1,399.3,399.2
Aluminium,400.0,399.2,399.1
Aluminium,399.9,399.2,399.1
Aluminium,399.8,399.1,399.0
Aluminium,399.7,399.0,398.8
Aluminium,399.8,399.0,398.9
Aluminium,399.8,399.1,398.9
Aluminium,399.8,399.0,398.8
Aluminium,399.7,398.9,398.8
Aluminium,399.7,398.8,398.7
Aluminium,399.7,398.8,398.7
Aluminium,399.6,398.7,398.6
Aluminium,399.5,398.7,398.6
Aluminium,399.4,398.7,398.6
Aluminium,399.5,398.7,398.5
Aluminium,399.4,398.7,398.5
Aluminium,399.4,398.6,398.4
Aluminium,399.5,398.7,398.6
Aluminium,399.3,398.6,398.4
Aluminium,399.1,398.3,398.1
Aluminium,398.9,398.1,397.8
Aluminium,398.6,397.8,397.5
Aluminium,398.2,397.3,397.0
Aluminium,397.7,396.7,396.3
Aluminium,397.4,396.3,396.1
Aluminium,397.9,396.9,396.8
Aluminium,399.0,397.8,397.7
Aluminium,399.2,397.9,397.7
Aluminium,398.5,397.3,397.1
Aluminium,397.4,396.2,395.8
Aluminium,396.2,395.0,394.6
Aluminium,395.0,393.8,393.5
Aluminium,394.5,393.4,393.1
Aluminium,394.0,393.0,392.6
Aluminium,393.5,392.4,392.1
Aluminium,393.0,391.9,391.6
Aluminium,392.5,391.4,391.1
Aluminium,392.0,391.0,390.7
Aluminium,391.6,390.6,390.3
Aluminium,391.3,390.1,389.9
Aluminium,390.9,389.7,389.5
Aluminium,390.5,389.4,389.2
Aluminium,390.2,389.0,388.9
Aluminium,389.9,388.6,388.5
Aluminium,389.5,388.3,388.3
Aluminium,389.2,388.0,388.0
Aluminium,388.9,387.7,387.8
Aluminium,388.6,387.5,387.4
Aluminium,388.4,387.3,387.1
Aluminium,388.2,387.1,386.9
Aluminium,387.9,386.9,386.6
Aluminium,387.6,386.7,386.4
Aluminium,387.4,386.5,386.3
Aluminium,387.1,386.3,386.1
Aluminium,387.0,386.1,385.9
Aluminium,386.7,385.8,385.6
Aluminium,386.4,385.6,385.4
Aluminium,386.2,385.4,385.2
Aluminium,385.9,385.2,385.0
Aluminium,385.6,385.0,384.7
Aluminium,385.3,384.6,384.4
Aluminium,385.0,384.2,384.1
Aluminium,384.9,383.9,383.9
Aluminium,384.6,383.8,383.8
Aluminium,384.5,383.6,383.6
Aluminium,384.4,383.4,383.4
Aluminium,384.2,383.2,383.3
Aluminium,384.2,383.2,383.2
Aluminium,384.2,383.2,383.2
Aluminium,384.1,383.1,383.1
Aluminium,384.2,383.1,383.0
Aluminium,384.2,382.9,382.9
Aluminium,384.1,382.9,382.9
Aluminium,384.2,383.0,382.8
Aluminium,384.2,383.1,382.9
Aluminium,384.3,383.1,382.8
Aluminium,384.2,383.1,382.8
Aluminium,384.2,383.1,382.8
Aluminium,384.1,383.0,382.8
Aluminium,384.1,383.0,382.8
Aluminium,384.2,382.9,382.7
Aluminium,384.2,383.0,382.7
Aluminium,384.2,383.0,382.8
Aluminium,384.3,383.1,382.9
Aluminium,384.2,383.0,382.9
Aluminium,384.2,382.9,382.8
